FP010152 si:dkey-108k21.18_1
FP000555 zp3b_1
FP002704 pomgnt1_1
FP005144 mtpap_1
FP006551 zgc:174637-1_1
FP009835 grnb_1
FP009853 metrn_1
FP010126 scamp5a_1
FP000904 pih1d3_1
FP000286 hand2_1
FP002856 cox6c_1
FP002508 myh9a_1
FP009891 mrps35_1
FP000502 si:ch73-40a17.4_1
FP002762 pfkfb4l_1
FP007955 tbk1_1
FP002326 anapc2_1
FP000136 limch1a_1
FP002467 hyi_1
FP009843 cluap1_1
FP005093 NEURL2_1
FP004966 ppp4cb_1
FP008451 txnl1_1
FP008419 si:dkey-235d18.5_1
FP009755 eif1axb_1
FP004516 AL935293.1_1
FP009971 ano10b_1
FP007289 si:dkey-5i3.5_1
FP000554 gng5_1
FP009245 tm9sf4_1
FP006631 lysmd1_1
FP007831 C19H1orf172-2_1
FP007006 zmpste24_1
FP007422 si:dkey-24l11.3_1
FP009920 tmem138_1
FP003264 rps4x_1
FP001169 hoxb4a_1
FP006619 zgc:171704_1
FP003859 cflarb_1
FP004427 fbxw11b_1
FP005127 mxra7_1
FP009088 nr5a2_1
FP001203 mapk3_1
FP008474 zgc:163077_1
FP002371 pmpca_1
FP003293 galns_1
FP006383 smpdl3b_1
FP007984 zgc:174972_1
FP003256 hypk_1
FP000921 ap1s3b_1
FP000927 klf6b_1
FP005962 cenpi_1
FP002861 oser1_1
FP009378 klhl21_1
FP005016 prdm9_1
FP008801 nsrp1_1
FP007301 parp12a_1
FP001407 ube2i2-1_1
FP004808 adnpa-1_1
FP000259 cd99_1
FP000278 znf827_1
FP000080 ugt5b4_1
FP003765 tti2_1
FP001929 si:dkey-98f17.5_1
FP008826 ankrd46a_1
FP009430 C23H1orf127_1
FP006002 sfxn1_1
FP005617 dcaf5_1
FP005619 synj2bp_1
FP001353 si:dkey-260c8.4_1
FP002241 mob1ba_1
FP006357 CABZ01113899.1_1
FP003277 map1aa_1
FP008970 nol8_1
FP003307 nsmaf_1
FP007246 serp1_1
FP006199 si:dkey-182i3.10_1
FP003363 sod3a_1
FP008991 dpp4_1
FP007509 cdon_1
FP003743 pop5_1
FP002069 tm2d2_1
FP005620 LGALS3_1
FP001125 tmem104_1
FP007806 vars2_1
FP004233 ttc21b_1
FP007971 ext1c_1
FP004543 styxl1_1
FP005415 pank2_1
FP000605 lhx8a_1
FP003722 eif2d_1
FP006010 ube2d2l_1
FP001980 ficd_1
FP005843 HNRNPUL2_1
FP002227 vcp_1
FP002196 scn4bb_1
FP002246 GGT6_1
FP009630 slc35b3_1
FP008914 si:ch73-138e16.2_1
FP004449 kpna7_1
FP001313 nmrk1_1
FP005373 sfxn4_1
FP006633 cct3_1
FP004521 SKA2_1
FP005846 gnpda1_1
FP004671 gnl3_1
FP004807 mafbb_1
FP009571 camta2_1
FP003060 calb2b_1
FP007982 CU596012.2_1
FP002463 dlgap4b_1
FP002977 slc39a1_1
FP005041 ccser2_1
FP004979 dlx4b_1
FP007152 prkd3_1
FP007938 FAM83H-1_1
FP005380 six2a_1
FP009663 nanog_1
FP001971 git2a_1
FP005048 rnasen_1
FP006435 dedd1-1_1
FP007693 cpsf1_1
FP000643 elovl1a_1
FP009413 rps26_1
FP001593 pex26_1
FP004158 dcun1d2a_1
FP001985 cds2_1
FP008683 zgc:110540_1
FP001720 gnptab_1
FP005800 si:dkey-102m7.1_1
FP004403 isoc1_1
FP000120 mtmr7b_1
FP008726 pgap2_1
FP002539 sucla2_1
FP002468 KDM4A-1_1
FP001709 tmpoa_1
FP008686 esrra_1
